更新时间: 2026-04-18 22:38:32（北京时间）

更新时间,#genre#
2026-04-18 22:38:32,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
北京卫视,http://221.232.40.13:8888/rtp/239.254.96.141:8920$湖北电信
北京卫视,http://171.213.155.205:9100/rtp/239.94.0.111:5140$四川电信
北京卫视,http://171.213.155.205:9100/rtp/239.94.0.112:5140$四川电信
北京卫视,http://171.213.155.205:9100/rtp/239.94.0.65:5140$四川电信
广东卫视,http://221.232.40.13:8888/rtp/239.254.96.140:8914$湖北电信
广东卫视,http://171.213.155.205:9100/rtp/239.94.0.114:5140$四川电信
广东卫视,http://171.213.155.205:9100/rtp/239.94.0.67:5140$四川电信
广西卫视,http://221.232.40.13:8888/rtp/239.69.1.191:10788$湖北电信
广西卫视,http://171.213.155.205:9100/rtp/239.94.0.89:5140$四川电信
东南卫视,http://221.232.40.13:8888/rtp/239.69.1.108:10286$湖北电信
东南卫视,http://171.213.155.205:9100/rtp/239.94.0.80:5140$四川电信
海南卫视,http://221.232.40.13:8888/rtp/239.69.1.151:10542$湖北电信
河北卫视,http://221.232.40.13:8888/rtp/239.254.96.113:9616$湖北电信
河北卫视,http://171.213.155.205:9100/rtp/239.94.0.86:5140$四川电信
河南卫视,http://221.232.40.13:8888/rtp/239.69.1.168:10644$湖北电信
河南卫视,http://171.213.155.205:9100/rtp/239.94.0.88:5140$四川电信
湖北卫视,http://221.232.40.13:8888/rtp/239.254.96.115:8664$湖北电信
湖北卫视,http://171.213.155.205:9100/rtp/239.94.0.84:5140$四川电信
江西卫视,http://221.232.40.13:8888/rtp/239.69.1.126:10394$湖北电信
江西卫视,http://171.213.155.205:9100/rtp/239.94.0.79:5140$四川电信
四川卫视,http://221.232.40.13:8888/rtp/239.69.1.169:10650$湖北电信
四川卫视,http://171.213.155.205:9100/rtp/239.94.0.115:5140$四川电信
四川卫视,http://171.213.155.205:9100/rtp/239.94.0.60:5140$四川电信
四川卫视,http://171.213.155.205:9100/rtp/239.94.0.59:5140$四川电信
重庆卫视,http://221.232.40.13:8888/rtp/239.69.1.149:10530$湖北电信
重庆卫视,http://171.213.155.205:9100/rtp/239.94.0.82:5140$四川电信
贵州卫视,http://221.232.40.13:8888/rtp/239.69.1.150:10536$湖北电信
贵州卫视,http://171.213.155.205:9100/rtp/239.94.0.83:5140$四川电信
云南卫视,http://171.213.155.205:9100/rtp/239.94.0.90:5140$四川电信
天津卫视,http://221.232.40.13:8888/rtp/239.69.1.68:10048$湖北电信
天津卫视,http://171.213.155.205:9100/rtp/239.94.0.68:5140$四川电信
安徽卫视,http://221.232.40.13:8888/rtp/239.69.1.70:10060$湖北电信
安徽卫视,http://171.213.155.205:9100/rtp/239.94.0.85:5140$四川电信
山东卫视,http://221.232.40.13:8888/rtp/239.69.1.69:10054$湖北电信
山东卫视,http://171.213.155.205:9100/rtp/239.94.0.120:5140$四川电信
山东卫视,http://171.213.155.205:9100/rtp/239.94.0.69:5140$四川电信
辽宁卫视,http://221.232.40.13:8888/rtp/239.69.1.71:10066$湖北电信
辽宁卫视,http://171.213.155.205:9100/rtp/239.94.0.101:5140$四川电信
黑龙江卫视,http://221.232.40.13:8888/rtp/239.254.96.138:8902$湖北电信
黑龙江卫视,http://171.213.155.205:9100/rtp/239.94.0.81:5140$四川电信
吉林卫视,http://221.232.40.13:8888/rtp/239.69.1.212:10914$湖北电信
吉林卫视,http://171.213.155.205:9100/rtp/239.94.0.91:5140$四川电信
宁夏卫视,http://171.213.155.205:9100/rtp/239.94.0.96:5140$四川电信
陕西卫视,http://171.213.155.205:9100/rtp/239.94.0.92:5140$四川电信
甘肃卫视,http://171.213.155.205:9100/rtp/239.94.0.99:5140$四川电信
新疆卫视,http://171.213.155.205:9100/rtp/239.94.0.98:5140$四川电信
西藏卫视,http://171.213.155.205:9100/rtp/239.94.0.97:5140$四川电信
兵团卫视,http://171.213.155.205:9100/rtp/239.94.0.102:5140$四川电信
康巴卫视,http://171.213.155.205:9100/rtp/239.94.0.78:5140$四川电信
中国教育1台,http://221.232.40.13:8888/rtp/239.69.1.110:10298$湖北电信
中国教育1台,http://171.213.155.205:9100/rtp/239.94.1.2:5140$四川电信
中国教育4台,http://171.213.155.205:9100/rtp/239.94.1.20:5140$四川电信

数字频道,#genre#
CHC动作电影,http://221.232.40.13:8888/rtp/239.69.1.242:11094$湖北电信
CHC动作电影,http://171.213.155.205:9100/rtp/239.94.1.175:5140$四川电信
CHC家庭影院,http://221.232.40.13:8888/rtp/239.69.1.243:11100$湖北电信
CHC家庭影院,http://171.213.155.205:9100/rtp/239.94.1.173:5140$四川电信
CHC影迷电影,http://221.232.40.13:8888/rtp/239.69.1.241:11088$湖北电信
CHC影迷电影,http://171.213.155.205:9100/rtp/239.94.1.174:5140$四川电信
星空卫视,http://171.213.155.205:9100/rtp/239.94.2.54:5140$四川电信
星空卫视,http://171.213.155.205:9100/rtp/239.94.2.53:5140$四川电信
ChannelV,http://171.213.155.205:9100/rtp/239.94.2.55:5140$四川电信
ChannelV,http://171.213.155.205:9100/rtp/239.94.2.56:5140$四川电信
凤凰卫视中文台,http://171.213.155.205:9100/rtp/239.94.2.51:5140$四川电信
凤凰卫视中文台,http://171.213.155.205:9100/rtp/239.94.2.52:5140$四川电信
凤凰卫视资讯台,http://171.213.155.205:9100/rtp/239.94.2.49:5140$四川电信
凤凰卫视资讯台,http://171.213.155.205:9100/rtp/239.94.2.50:5140$四川电信
求索纪录,http://171.213.155.205:9100/rtp/239.94.1.142:5140$四川电信
金鹰纪实,http://221.232.40.13:8888/rtp/239.69.1.109:10292$湖北电信
金鹰纪实,http://171.213.155.205:9100/rtp/239.94.1.1:5140$四川电信
纪实科教,http://171.213.155.205:9100/rtp/239.94.0.109:5140$四川电信
快乐垂钓,http://221.232.40.13:8888/rtp/239.69.1.142:10488$湖北电信
快乐垂钓,http://171.213.155.205:9100/rtp/239.94.1.153:5140$四川电信
茶频道,http://221.232.40.13:8888/rtp/239.69.1.144:10500$湖北电信
茶频道,http://171.213.155.205:9100/rtp/239.94.1.154:5140$四川电信
天元围棋,http://171.213.155.205:9100/rtp/239.94.1.152:5140$四川电信
梨园频道,http://221.232.40.13:8888/rtp/239.69.1.33:9838$湖北电信
梨园频道,http://171.213.155.205:9100/rtp/239.94.1.16:5140$四川电信
武术世界,http://221.232.40.13:8888/rtp/239.69.1.47:9922$湖北电信
乐游,http://171.213.155.205:9100/rtp/239.94.1.164:5140$四川电信
生活时尚,http://171.213.155.205:9100/rtp/239.94.1.146:5140$四川电信
都市剧场,http://171.213.155.205:9100/rtp/239.94.1.133:5140$四川电信
欢笑剧场,http://171.213.155.205:9100/rtp/239.94.1.176:5140$四川电信
游戏风云,http://171.213.155.205:9100/rtp/239.94.1.46:5140$四川电信
金色学堂,http://171.213.155.205:9100/rtp/239.94.1.165:5140$四川电信
动漫秀场,http://171.213.155.205:9100/rtp/239.94.1.171:5140$四川电信
卡酷少儿,http://221.232.40.13:8888/rtp/239.69.1.193:10800$湖北电信
金鹰卡通,http://221.232.40.13:8888/rtp/239.69.1.248:11130$湖北电信
中国交通,http://171.213.155.205:9100/rtp/239.94.0.87:5140$四川电信
中国天气,http://171.213.155.205:9100/rtp/239.94.1.167:5140$四川电信

湖北,#genre#
湖北公共新闻,http://221.232.40.13:8888/rtp/239.69.1.40:9880$湖北电信
湖北经视频道,http://221.232.40.13:8888/rtp/239.69.1.41:9886$湖北电信
湖北综合频道,http://221.232.40.13:8888/rtp/239.69.1.42:9892$湖北电信
湖北垄上频道,http://221.232.40.13:8888/rtp/239.69.1.43:9898$湖北电信
湖北影视频道,http://221.232.40.13:8888/rtp/239.69.1.204:10866$湖北电信
湖北生活频道,http://221.232.40.13:8888/rtp/239.69.1.205:10872$湖北电信
湖北教育频道,http://221.232.40.13:8888/rtp/239.69.1.206:10878$湖北电信
武汉新闻综合,http://221.232.40.13:8888/rtp/239.69.1.145:10506$湖北电信
武汉电视剧,http://221.232.40.13:8888/rtp/239.69.1.146:10512$湖北电信
武汉科技生活,http://221.232.40.13:8888/rtp/239.69.1.251:11148$湖北电信
武汉文体频道,http://221.232.40.13:8888/rtp/239.69.1.147:10518$湖北电信
武汉教育频道,http://221.232.40.13:8888/rtp/239.69.1.60:9994$湖北电信
阳新综合,http://221.232.40.13:8888/rtp/239.69.1.34:9844$湖北电信
房县综合,http://221.232.40.13:8888/rtp/239.69.1.192:10794$湖北电信
蔡甸综合,http://221.232.40.13:8888/rtp/239.69.1.245:11112$湖北电信

